air1_iata,air1_lat,air1_lng,air2_iata,air2_lat,air2_lng,route,twc
PAT,25.59361111,85.09194444,MAA,12.98222222,80.16361111,nan,1499
PAT,25.59361111,85.09194444,BLR,13.20694444,77.70416667,nan,11402
PAT,25.59361111,85.09194444,DEL,28.56861111,77.11222222,nan,42497
PNY,11.96666667,79.81444444,BLR,13.20694444,77.70416667,nan,812
PNY,11.96666667,79.81444444,HYD,17.24,78.43,RCS,812
PBD,21.64870071,69.65720367,BOM,19.08861111,72.86805556,RCS,812
IXZ,11.64111111,92.72972222,DEL,28.56861111,77.11222222,nan,5971
IXZ,11.64111111,92.72972222,MAA,12.98222222,80.16361111,nan,18864
IXZ,11.64111111,92.72972222,CCU,22.65472222,88.44666667,nan,16280
PNQ,18.58222222,73.91972222,MAA,12.98222222,80.16361111,nan,21884
PNQ,18.58222222,73.91972222,DEL,28.56861111,77.11222222,nan,80806
PNQ,18.58222222,73.91972222,BLR,13.20694444,77.70416667,nan,36315
PNQ,18.58222222,73.91972222,COK,10.155,76.391,nan,4704
PNQ,18.58222222,73.91972222,HYD,17.24,78.43,nan,20204
PNQ,18.58222222,73.91972222,GOI,15.38083333,73.83138889,nan,3036
PNQ,18.58222222,73.91972222,AMD,23.07722222,72.63472222,nan,13726
RJA,17.11027778,81.81833333,HYD,17.24,78.43,nan,5712
RJA,17.11027778,81.81833333,MAA,12.98222222,80.16361111,nan,2282
RJA,17.11027778,81.81833333,BLR,13.20694444,77.70416667,nan,2282
IXS,24.91290092,92.97869873,CCU,22.65472222,88.44666667,nan,3848
IXS,24.91290092,92.97869873,GAU,26.10611111,91.58583333,nan,4940
SXR,33.98713889,74.77425,IXJ,32.68916667,74.8375,nan,12948
SXR,33.98713889,74.77425,DEL,28.56861111,77.11222222,nan,24888
SXR,33.98713889,74.77425,IXC,30.67472222,76.79055556,nan,2064
STV,21.11765833,72.74525833,JAI,26.82416667,75.81222222,nan,812
STV,21.11765833,72.74525833,BOM,19.08861111,72.86805556,nan,1232
STV,21.11765833,72.74525833,DEL,28.56861111,77.11222222,nan,8708
STV,21.11765833,72.74525833,CCU,22.65472222,88.44666667,nan,2408
STV,21.11765833,72.74525833,HYD,17.24,78.43,nan,812
STV,21.11765833,72.74525833,GOI,15.38083333,73.83138889,nan,812
TIR,13.63777778,79.54722222,HYD,17.24,78.43,nan,16554
TIR,13.63777778,79.54722222,BLR,13.20694444,77.70416667,nan,2656
TRV,8.48,76.92,MAA,12.98222222,80.16361111,nan,7742
TRV,8.48,76.92,BLR,13.20694444,77.70416667,nan,18499
TCR,8.72416667,78.02583333,MAA,12.98222222,80.16361111,nan,1624
UDR,24.61777778,73.89611111,JAI,26.82416667,75.81222222,nan,3759
VNS,25.45222222,82.85944444,JAI,26.82416667,75.81222222,nan,812
VNS,25.45222222,82.85944444,DEL,28.56861111,77.11222222,nan,31153
VNS,25.45222222,82.85944444,AMD,23.07722222,72.63472222,nan,2064
VNS,25.45222222,82.85944444,BOM,19.08861111,72.86805556,nan,9662
VNS,25.45222222,82.85944444,HYD,17.24,78.43,nan,9338
VGA,16.52888889,80.79583333,BLR,13.20694444,77.70416667,nan,7132
VGA,16.52888889,80.79583333,HYD,17.24,78.43,nan,9670
VGA,16.52888889,80.79583333,MAA,12.98222222,80.16361111,nan,5544
VTZ,17.72111111,83.22444444,CCU,22.65472222,88.44666667,nan,8554
VTZ,17.72111111,83.22444444,HYD,17.24,78.43,nan,14021
VTZ,17.72111111,83.22444444,MAA,12.98222222,80.16361111,nan,6244
AMD,23.07722222,72.63472222,nan_Mundra,22.83416667,69.76444444,RCS,228
nan_Mundra,22.83416667,69.76444444,AMD,23.07722222,72.63472222,RCS,114
BLR,13.20694444,77.70416667,JAI,26.82416667,75.81222222,nan,14025
BLR,13.20694444,77.70416667,GAU,26.10611111,91.58583333,nan,10615
BLR,13.20694444,77.70416667,NAG,21.09222222,79.04722222,nan,11880
BLR,13.20694444,77.70416667,GOI,15.38083333,73.83138889,nan,20460
BLR,13.20694444,77.70416667,BBI,20.24440002,85.81780243,nan,17160
BLR,13.20694444,77.70416667,IXR,23.31416667,85.32166667,nan,6930
BLR,13.20694444,77.70416667,VTZ,17.72111111,83.22444444,nan,11550
BLR,13.20694444,77.70416667,IXC,30.67472222,76.79055556,nan,5940
BLR,13.20694444,77.70416667,IDR,22.72179985,75.80110168,nan,12048
BBI,20.24440002,85.81780243,BLR,13.20694444,77.70416667,nan,17160
BBI,20.24440002,85.81780243,CCU,22.65472222,88.44666667,nan,15015
BBI,20.24440002,85.81780243,HYD,17.24,78.43,nan,13860
BBI,20.24440002,85.81780243,MAA,12.98222222,80.16361111,nan,9240
BBI,20.24440002,85.81780243,IXR,23.31416667,85.32166667,nan,2310
IXC,30.67472222,76.79055556,BLR,13.20694444,77.70416667,nan,5115
MAA,12.98222222,80.16361111,BBI,20.24440002,85.81780243,nan,9240
DEL,28.56861111,77.11222222,IMF,24.76,93.89666667,nan,4494
